CRASH DATE,LATITUDE,LONGITUDE,new-string
03/26/2022,40.629475,-74.004166,03.6294.0041
03/26/2022,40.668797,-73.93113,03.6687.9311
03/26/2022,40.754707,-73.99164,03.7547.9916
03/25/2022,40.85713,-73.8808,03.8571.8808
03/26/2022,40.857418,-73.89996,03.8574.8999
03/26/2022,40.702972,-73.888054,03.7029.8880
03/09/2022,40.786366,-73.97598,03.7863.9759
03/26/2022,40.624474,-74.00668,03.6244.0066
03/26/2022,40.76532,-73.771904,03.7653.7719
03/26/2022,40.597683,-73.96686,03.5976.9668
03/26/2022,40.609768,-74.06969,03.6097.0696
03/25/2022,40.798286,-73.938705,03.7982.9387
03/23/2022,40.776764,-73.848015,03.7767.8480
03/26/2022,40.747498,-73.91309,03.7474.9130
03/26/2022,40.701637,-73.942276,03.7016.9422
03/26/2022,40.69349,-73.826546,03.6934.8265
03/26/2022,40.726463,-73.85943,03.7264.8594
03/25/2022,40.856434,-73.886826,03.8564.8868
03/22/2022,40.87151,-73.87057,03.8715.8705
03/26/2022,40.68686,-73.96758,03.6868.9675
03/26/2022,40.624763,-73.96518,03.6247.9651
03/26/2022,40.678417,-73.729225,03.6784.7292
03/14/2022,40.692596,-73.79078,03.6925.7907
03/26/2022,40.734486,-73.891754,03.7344.8917
03/26/2022,40.88399,-73.82641,03.8839.8264
03/26/2022,40.683872,-73.95998,03.6838.9599
03/05/2022,40.799484,-73.92929,03.7994.9292
03/26/2022,40.70839,-74.00482,03.7083.0048
03/26/2022,40.766502,-73.99418,03.7665.9941
03/26/2022,40.676304,-73.816284,03.6763.8162
03/26/2022,40.66447,-73.89593,03.6644.8959
03/23/2022,40.709835,-74.014885,03.7098.0148
04/24/2022,40.585342,-73.94157,04.5853.9415
09/11/2021,40.746395,-73.9856,09.7463.9856
09/10/2021,40.617004,-73.96912,09.6170.9691
09/11/2021,40.718662,-74.00615,09.7186.0061
09/09/2021,40.680664,-73.97028,09.6806.9702
12/10/2021,40.67392,-73.91012,12.6739.9101
12/10/2021,40.806835,-73.924355,12.8068.9243
11/27/2021,40.627735,-73.920105,11.6277.9201
12/09/2021,0.0,0.0,12
12/08/2021,40.661263,-73.955765,12.6612.9557
12/08/2021,40.844883,-73.907295,12.8448.9072
12/10/2021,40.76104,-73.88162,12.7610.8816
12/10/2021,40.669777,-73.9583,12.6697.9583
12/10/2021,40.839443,-73.90436,12.8394.9043
12/10/2021,40.75245,-73.94507,12.7524.9450
12/08/2021,40.687748,-73.980125,12.6877.9801
12/03/2021,40.87356,-73.81853,12.8735.8185
12/10/2021,40.8176,-73.90373,12.8176.9037
12/09/2021,40.638428,-73.91275,12.6384.9127
12/10/2021,40.813885,-73.95211,12.8138.9521
12/10/2021,40.77733,-73.95456,12.7773.9545
12/10/2021,40.713135,-74.00407,12.7131.0040
12/09/2021,40.775486,-73.98217,12.7754.9821
12/09/2021,40.591137,-73.97752,12.5911.9775
11/24/2021,40.865536,-73.92728,11.8655.9272
12/09/2021,40.76551,-73.97795,12.7655.9779
